week_end,target_flu_hospitalization_rate,target_covid_hospitalization_rate,target_rsv_hospitalization_rate,candidate_wastewater_sars_cov_2,candidate_wastewater_influenza_a,candidate_wastewater_rsv,candidate_test_positivity_covid_19,candidate_test_positivity_influenza,candidate_test_positivity_rsv,candidate_negative_control_deterministic
2018-10-06,0.100000,,0.100000,,,,,,,0.000000
2018-10-13,0.100000,,0.200000,,,,,,,0.370000
2018-10-20,0.100000,,0.200000,,,,,,,0.740000
2018-10-27,0.100000,,0.300000,,,,,,,0.100000
2018-11-03,0.200000,,0.300000,,,,,,,0.470000
2018-11-10,0.200000,,0.500000,,,,,,,0.840000
2018-11-17,0.200000,,0.500000,,,,,,,0.200000
2018-11-24,0.300000,,0.500000,,,,,,,0.570000
2018-12-01,0.600000,,0.900000,,,,,,,0.940000
2018-12-08,0.700000,,0.900000,,,,,,,0.300000
2018-12-15,1.200000,,1.100000,,,,,,,0.670000
2018-12-22,1.900000,,1.400000,,,,,,,0.030000
2018-12-29,2.900000,,1.700000,,,,,,,0.400000
2019-01-05,3.000000,,1.800000,,,,,,,0.770000
2019-01-12,2.500000,,1.800000,,,,,,,0.130000
2019-01-19,2.100000,,1.400000,,,,,,,0.500000
2019-01-26,2.300000,,1.300000,,,,,,,0.870000
2019-02-02,3.000000,,1.500000,,,,,,,0.230000
2019-02-09,3.500000,,1.400000,,,,,,,0.600000
2019-02-16,3.800000,,1.200000,,,,,,,0.970000
2019-02-23,4.600000,,1.200000,,,,,,,0.330000
2019-03-02,4.600000,,1.100000,,,,,,,0.700000
2019-03-09,5.200000,,0.800000,,,,,,,0.060000
2019-03-16,5.500000,,0.700000,,,,,,,0.430000
2019-03-23,4.800000,,0.700000,,,,,,,0.800000
2019-03-30,3.600000,,0.500000,,,,,,,0.160000
2019-04-06,2.700000,,0.400000,,,,,,,0.530000
2019-04-13,1.800000,,0.300000,,,,,,,0.900000
2019-04-20,1.100000,,0.300000,,,,,,,0.260000
2019-04-27,0.600000,,0.100000,,,,,,,0.630000
2019-05-04,0.200000,,0.100000,,,,,,,1.000000
2019-10-05,0.100000,,0.100000,,,,,,,0.360000
2019-10-12,0.100000,,0.200000,,,,,,,0.730000
2019-10-19,0.200000,,0.300000,,,,,,,0.090000
2019-10-26,0.200000,,0.300000,,,,,,,0.460000
2019-11-02,0.200000,,0.400000,,,,,,,0.830000
2019-11-09,0.300000,,0.600000,,,,,,,0.190000
2019-11-16,0.400000,,0.800000,,,,,,,0.560000
2019-11-23,0.600000,,0.900000,,,,,,,0.930000
2019-11-30,0.900000,,1.200000,,,,,,,0.290000
2019-12-07,1.300000,,1.800000,,,,,,,0.660000
2019-12-14,1.700000,,1.800000,,,,,,,0.020000
2019-12-21,2.400000,,1.900000,,,,,,,0.390000
2019-12-28,4.500000,,2.300000,,,,,,,0.760000
2020-01-04,5.300000,,2.800000,,,,,,,0.120000
2020-01-11,4.500000,,2.100000,,,,,,,0.490000
2020-01-18,4.200000,,1.900000,,,,,,,0.860000
2020-01-25,4.600000,,1.800000,,,,,,,0.220000
2020-02-01,5.300000,,1.800000,,,,,,,0.590000
2020-02-08,6.000000,,1.500000,,,,,,,0.960000
2020-02-15,5.000000,,1.500000,,,,,,,0.320000
2020-02-22,5.000000,,1.300000,,,,,,,0.690000
2020-02-29,4.400000,,1.000000,,,,,,,0.050000
2020-03-07,4.000000,0.100000,1.100000,,,,,,,0.420000
2020-03-14,2.800000,0.600000,0.900000,,,,,,,0.790000
2020-03-21,1.300000,2.900000,0.600000,,,,,,,0.150000
2020-03-28,0.300000,7.600000,0.300000,,,,,,,0.520000
2020-04-04,0.100000,9.500000,0.200000,,,,,,,0.890000
2020-04-11,0.100000,9.200000,0.100000,,,,,,,0.250000
2020-04-18,0.100000,9.900000,0.000000,,,,,,,0.620000
2020-04-25,0.000000,9.500000,0.000000,,,,,,,0.990000
2020-05-02,0.000000,9.400000,0.000000,,,,,,,0.350000
2020-05-09,,8.300000,,,,,,,,0.720000
2020-05-16,,7.700000,,,,,,,,0.080000
2020-05-23,,7.400000,,,,,,,,0.450000
2020-05-30,,6.100000,,,,,,,,0.820000
2020-06-06,,4.900000,,,,,,,,0.180000
2020-06-13,,4.000000,,,,,,,,0.550000
2020-06-20,,4.000000,,,,,,,,0.920000
2020-06-27,,4.600000,,,,,,,,0.280000
2020-07-04,,6.000000,,,,,,,,0.650000
2020-07-11,,7.700000,,,,,,,,0.010000
2020-07-18,,8.100000,,,,,,,,0.380000
2020-07-25,,7.600000,,,,,,,,0.750000
2020-08-01,,6.900000,,,,,,,,0.110000
2020-08-08,,6.300000,,,,,,,,0.480000
2020-08-15,,5.700000,,,,,,,,0.850000
2020-08-22,,5.200000,,,,,,,,0.210000
2020-08-29,,4.400000,,,,,,,,0.580000
2020-09-05,,4.100000,,,,,,,,0.950000
2020-09-12,,3.900000,,,,,,,,0.310000
2020-09-19,,3.800000,,,,,,,,0.680000
2020-09-26,,4.300000,,,,,,,,0.040000
2020-10-03,0.000000,4.400000,0.000000,,,,,,,0.410000
2020-10-10,0.000000,5.500000,0.000000,,,,,,,0.780000
2020-10-17,0.000000,6.300000,0.000000,,,,,,,0.140000
2020-10-24,0.000000,7.500000,0.000000,,,,,,,0.510000
