run_id,timestamp,method_name,case_count,candidate_accuracy,avg_present_edge_precision,avg_present_edge_recall,avg_missing_edge_recall,missing_edge_false_claim_count,stronger_candidate_accuracy,weak_candidate_rejection_accuracy
1,2026-06-22T00:12:45,KG-only,50,,1.000,1.000,1.000,,,1.000
1,2026-06-22T00:12:45,LLM-only,50,0.940,0.960,0.740,0.910,,,1.000
1,2026-06-22T00:12:45,Text-RAG,50,0.960,0.843,0.860,0.940,,,1.000
1,2026-06-22T00:12:45,GraphRAG,50,1.000,1.000,1.000,1.000,,,1.000
2,2026-06-22T00:29:51,KG-only,50,,1.000,1.000,1.000,,,1.000
2,2026-06-22T00:29:51,LLM-only,50,0.980,0.950,0.730,0.930,,,1.000
2,2026-06-22T00:29:51,Text-RAG,50,0.940,0.860,0.880,0.940,,,1.000
2,2026-06-22T00:29:51,GraphRAG,50,1.000,1.000,1.000,1.000,,,1.000
3,2026-06-22T00:46:02,KG-only,50,,1.000,1.000,1.000,,,1.000
3,2026-06-22T00:46:02,LLM-only,50,0.980,0.980,0.750,0.970,,,1.000
3,2026-06-22T00:46:02,Text-RAG,50,0.940,0.860,0.880,0.940,,,1.000
3,2026-06-22T00:46:02,GraphRAG,50,1.000,1.000,1.000,1.000,,,1.000
4,2026-06-22T01:05:01,KG-only,50,,1.000,1.000,1.000,,,1.000
4,2026-06-22T01:05:01,LLM-only,50,0.980,0.990,0.800,0.970,,,1.000
4,2026-06-22T01:05:01,Text-RAG,50,0.920,0.850,0.880,0.930,,,1.000
4,2026-06-22T01:05:01,GraphRAG,50,1.000,1.000,1.000,1.000,,,1.000
5,2026-06-22T01:23:35,KG-only,50,,1.000,1.000,1.000,,,1.000
5,2026-06-22T01:23:35,LLM-only,50,0.980,0.960,0.743,0.960,,,1.000
5,2026-06-22T01:23:35,Text-RAG,50,0.960,0.843,0.860,0.930,,,1.000
5,2026-06-22T01:23:35,GraphRAG,50,1.000,1.000,1.000,1.000,,,1.000
